,slope_deg,azimuth_deg,svf,area_m2,yield_kwh_kwp
287112,32.8695473932059,358.94218905364454,0.9287698231459087,251.0192016383883,724.7806647992243
363173,42.96015036561991,320.68128535364895,0.9585144327059367,380.86017273498027,627.5695040849698
150346,42.02140657745929,332.26104305220866,0.893738471240892,123.84941694970715,602.5264920527034
6040,39.992981567015015,342.49574019891924,0.9332431558039499,108.23213829530623,617.3666646004367
338301,43.04867072120146,323.97618355389363,0.9225909660197265,91.98868333758229,613.8365081026037
222494,37.62211103300248,332.13187142168397,0.894202893325991,425.47308117905243,652.334822522629
244044,43.308034192126904,323.9729110101765,0.9395552932942394,67.55050079392817,611.3510321803543
215727,43.630770361699874,344.79707706736576,0.9573456321750391,171.3722547963078,575.9993754784612
219224,30.41954483672511,342.8445647428775,0.9080646234800256,269.1454505240201,736.8044937293424
118665,34.37254976346838,325.6562995669682,0.9536140054136061,199.2209936226397,702.6194886550828
294654,34.535411480145164,106.9951758918699,0.9865677555922334,84.38875093044747,1335.9043885845915
144045,38.459410223847605,108.70126717516874,0.986911046813269,118.6754889716338,1346.962045935076
221568,37.9379049708565,114.82284387766288,0.9830303507406529,164.69609915293384,1375.2235923648027
62089,34.48811595965229,110.7419937696809,0.9936112133874672,127.33452371113944,1353.3761543108699
301258,33.84304187454301,100.06955671218377,0.9791696838405495,115.23246865848495,1299.87025440137
253828,34.18326691805019,101.67536036313606,0.9719782213951014,104.18728396619701,1308.6215708706952
14419,30.11549248512132,121.70013260443142,0.9831242863538159,71.51493215990155,1384.5459620191377
266527,37.40087239171375,127.12507715655418,0.9893198814558254,143.063903633732,1419.7774229645827
50592,44.214478118968955,110.73859372201706,0.9993035527077774,121.24590289388297,1355.8110175906504
157768,41.88547589125204,96.25937399114406,0.992315989537161,146.12302401627522,1273.9676771276672
124956,35.70682838223719,96.10597446095692,0.9747042184347785,112.64817724124016,1277.6356205101401
276827,34.372854256598444,110.98151392795087,0.978527926760707,165.05728149683432,1354.291898867247
146151,39.342862902600864,102.42942889014307,0.9877286712301587,135.4843058129225,1313.454075442905
94558,40.40595956871783,118.0325753546243,0.9896387958950138,209.19362390498145,1390.3538049623369
33557,31.011945764965237,102.75861937458292,0.9924304294107529,260.3676294548613,1311.0564457583305
240360,34.86548619571424,127.68089240474842,0.9958332871285809,115.65647487497445,1416.4924730955292
